"site","zone","plot_id","year","density","germ","percent_mort","tot_prev","swe","htc","ti_area","stand_size","isl_density","zone_area","zone_density","recruit_decade","zone_age","zone_basal","zone_height"
"ti12","deflation",2187,2014,2,0,NA,NA,91.3643478931205,0.881642420015986,820,23,280,212,94,0.11,133.5,0.0208,3.3
"ti12","deflation",2187,2015,2,1,1,2,90.4786990611761,1.63155337370451,820,23,280,212,94,0.11,133.5,0.0208,3.3
"ti12","deflation",2187,2016,3,2,0.5,2,NA,NA,820,23,280,212,94,0.11,133.5,0.0208,3.3
"ti12","deflation",2192,2014,1,0,NA,NA,91.3643478931205,0.881642420015986,820,23,280,212,94,0.11,133.5,0.0208,3.3
"ti12","deflation",2192,2015,1,0,1,1,90.4786990611761,1.63155337370451,820,23,280,212,94,0.11,133.5,0.0208,3.3
"ti12","deflation",2192,2016,1,0,0,1,NA,NA,820,23,280,212,94,0.11,133.5,0.0208,3.3
"ti12","interior",2188,2014,10,0,NA,NA,301.833193875323,0.293712603823816,820,23,280,154,840,0.59,119,0.011,3.06153846153846
"ti12","interior",2188,2015,8,0,0.4,10,254.135405345717,0.326798931052022,820,23,280,154,840,0.59,119,0.011,3.06153846153846
"ti12","interior",2188,2016,6,1,0.25,8,NA,NA,820,23,280,154,840,0.59,119,0.011,3.06153846153846
"ti12","interior",2189,2014,2,0,NA,NA,301.833193875323,0.293712603823816,820,23,280,154,840,0.59,119,0.011,3.06153846153846
"ti12","interior",2189,2015,2,0,0,2,254.135405345717,0.326798931052022,820,23,280,154,840,0.59,119,0.011,3.06153846153846
"ti12","interior",2189,2016,2,0,0,2,NA,NA,820,23,280,154,840,0.59,119,0.011,3.06153846153846
"ti12","interior",2190,2014,0,0,NA,NA,301.833193875323,0.293712603823816,820,23,280,154,840,0.59,119,0.011,3.06153846153846
"ti12","interior",2190,2015,0,0,0,0,254.135405345717,0.326798931052022,820,23,280,154,840,0.59,119,0.011,3.06153846153846
"ti12","interior",2190,2016,1,0,0,0,NA,NA,820,23,280,154,840,0.59,119,0.011,3.06153846153846
"ti12","leeward",2183,2014,0,0,NA,NA,376.103840653806,0.332408762134474,820,23,280,254,79,0.25,73.5,0.00628,3.05
